B Angie B (DVD/CD Combo)	Buying the Bayou	0.24	0.629412	0.666471	0.380952	-1.012007	0	0	-2.585285
B-17 Flying Legend	Blekingegade	0.368421	0.731849	0.758664	0.5625	-0.219928	0	0	-1.911785
B-2 Stealth Bomber	Bomb Shelter	0.421053	0.731849	0.758664	0.5625	-0.21857	0	0	-1.857872
B-2-Stealth Bomber	Battle Dome	0.421053	0.719883	0.747895	0.516129	0.261242	1	0	-1.978845
B-29 Frozen In Time	Before My Time	0.5	0.700505	0.730455	0.571429	-0.60182	0	0	-1.856328
B-29 Superfortress: Wings Of Destruction: American War Eagles	Burning Desire: The Seduction of Smoking	0.274194	0.650956	0.68586	0.446602	0.213496	1	0	-2.420849
B-52's: Time Capsule: Videos For A Future Generation (DVD/CD Combo)	Bailando por un sueño: 1er campeonato internacional de baile	0.235294	0.61793	0.656137	0.387597	0.213496	1	0	-2.609597
B-52s: Live In Germany 1983 (Hudson Music)	Berlin 1936: Games of the XI Olympiad	0.186047	0.615518	0.653966	0.345679	0.213708	1	0	-2.683606
B-52s: Live In Germany 1983 (Immortal Classics)	Berlin 1936: Games of the XI Olympiad	0.229167	0.64543	0.680887	0.372093	0.213529	1	0	-2.558356
B-52s: With The Wild Crowd!: Live In Athens, GA	Big Ideas That Changed the World	0.25	0.64831	0.683479	0.345679	0.245299	1	0	-2.572020
B-52s: With The Wild Crowd!: Live In Athens, GA (Blu-ray)	Breakfast with the Arts (Richard Rodgers: Falling in Love)	0.224138	0.639207	0.675286	0.410256	0.213496	1	0	-2.529983
B-Boy Masters: Hip-Hop Elements All-Star Weekend	Bill Bryson: Notes from a Small Island	0.244898	0.666047	0.699443	0.386364	0.213497	1	0	-2.476010
B-Boyz	Bony	0.428571	0.790476	0.811429	0.666667	-1.023216	0	0	-1.448209
B-Girl	Bad Girls	0.428571	0.819048	0.837143	0.705882	-1.217004	0	1	-1.265617
B-Girl (Blu-ray)	Bill Brand	0.470588	0.726976	0.754278	0.571429	-0.255504	0	0	-1.802566
B-Movie Blast: 50 Movie Collection	Beer, Babes & Movies	0.342857	0.663492	0.697143	0.5	1.026306	1	0	-2.254877
B-Movie: The Shooting Of 'Farmhouse Massacre' (Special Edition)	Blush: The Search for America's Greatest Makeup Artist	0.296875	0.655835	0.690252	0.403361	0.213496	1	0	-2.451972
B-Side	B-Sides	0.857143	0.958333	0.983333	0.933333	-0.821217	0	1	0.482159
B. B. King: The Blues Anthology (DVD/CD Combo)	Born to Be Wild: The Golden Age of American Rock	0.276596	0.603343	0.643009	0.4375	0.213496	1	0	-2.562277
B. East (DVD-ROM)	Book Case TV	0.277778	0.64245	0.678205	0.451613	-0.871281	0	0	-2.435555
B. Giorgi: Attitude Tu Ballet Pilates Fusion	Border Security: Australia's Front Line	0.244444	0.655556	0.69	0.423529	0.213498	1	0	-2.457080
B. Monkey (Miramax Echo Bridge)	Boxing from St. Nicholas Arena	0.21875	0.666779	0.700101	0.444444	0.884753	1	0	-2.410754
B. Monkey (Miramax)	Big Money TV	0.4	0.714103	0.742692	0.545455	0.037635	1	0	-1.968594
