Lev0	Jaro	Jaro_Winkler	Ratio	Sorensen	Jaccard	Lev1	Lev2	Dice2	Dice3	Dice4	CosWords	Cos2	wLev0	wJaro	wJaro_Winkler	wRatio	wSorensen	wJaccard	wLev1	wLev2	wDice2	wDice3	wDice4	wCosWords	wCos2	intercept	AUC
1	1	1	1	1	1	1	1	1	1	1	1	1	-1.96431805493	1.70616645684	-1.08302319845	0.533493519517	-0.729200280259	-0.608822709499	0.0119442505514	-0.11503872233	2.20774415531	1.12566774765	-0.247617349776	1.00125204962	0.464019245339	-2.20851296314	0.966940448496
0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	1.75666470884	-1.0074689387	0.198087819698	-0.574589414007	-0.58183709987	-1.07382650048	-1.22576260945	2.21205530911	1.13707961375	-0.21412658077	1.04137971399	0.545831229862	-1.96804158365	0.94836917818
0	0	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	-0.459058496754	0.507397646929	-0.4255707472	-0.479071457377	-0.96429766069	-1.11219030407	2.39645669842	1.2578137238	-0.293711446613	1.02355592887	0.582552693517	-1.64602501145	0.941366377059
0	0	0	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.455791521477	-0.554674070888	-0.553977604944	-0.966354935474	-1.10689590035	2.38407854635	1.23250672097	-0.293822653427	1.00072307378	0.591905997507	-1.9409665613	0.947664941683
0	0	1	0	1	1	1	1	1	1	1	1	1	0.0	0.0	-0.431872003457	0.0	-0.393999836373	-0.438365519565	-0.858884857967	-0.988330496983	2.48622093612	1.29527026154	-0.308397178752	1.01143830667	0.597656169881	-1.5533798875	0.945575970501
0	0	1	1	0	1	1	1	1	1	1	1	1	0.0	0.0	-0.528416238957	0.477327208743	0.0	-0.258459186494	-0.947965104	-1.09677883691	2.4067446051	1.25082727337	-0.287067559128	1.0274368252	0.578783619298	-1.81308362253	0.945876655747
0	0	1	1	1	0	1	1	1	1	1	1	1	0.0	0.0	-0.534666190914	0.430227355963	-0.00161327385518	0.0	-0.991685833518	-1.1577423611	2.36034200866	1.26846389799	-0.300968776558	1.02804455193	0.56700723461	-1.84941047264	0.941532545221
0	0	1	1	1	1	0	1	1	1	1	1	1	0.0	0.0	-0.46203425226	0.262979693844	-0.386642604161	-0.514665101812	0.0	-1.71589664051	2.25798542374	1.22423962877	-0.262867622679	1.0413214813	0.599291689142	-1.60126082371	0.945773789742
0	0	1	1	1	1	1	0	1	1	1	1	1	0.0	0.0	-0.454889897427	0.189025162361	-0.38525857609	-0.546105162464	-1.63442222445	0.0	2.26266681601	1.23648744765	-0.243814672526	1.0441526053	0.611294459661	-1.63584368434	0.940812483185
0	0	1	1	1	1	1	1	0	1	1	1	1	0.0	0.0	-0.41228652983	1.06019923623	-0.500093131896	-0.370253712533	-0.589929815025	-0.78095666383	0.0	2.09071804082	-0.443428854255	1.17481249545	0.815628952082	-1.83169378241	0.933683077751
0	0	1	1	1	1	1	1	1	0	1	1	1	0.0	0.0	-0.421953208576	0.613301064177	-0.40426651016	-0.49696541407	-0.921714586568	-1.08546542114	2.75620113542	0.0	0.334948206803	0.996762647195	0.700428672464	-1.64664034913	0.936769057906
0	0	1	1	1	1	1	1	1	1	0	1	1	0.0	0.0	-0.458931247792	0.53625918571	-0.411462119862	-0.486752026976	-0.937228846506	-1.07221544977	2.44837549315	0.806869867278	0.0	1.01056268752	0.610380755886	-1.66277594083	0.940116159458
0	0	1	1	1	1	1	1	1	1	1	0	1	0.0	0.0	-0.0711617838999	0.136916415158	-0.548062751967	-0.581867898067	-1.19640689971	-1.35252004657	3.12785483082	0.970646726745	-0.0919307181086	0.0	1.58572315049	-1.89759053425	0.94028232762
0	0	1	1	1	1	1	1	1	1	1	1	0	0.0	0.0	-0.47794375708	0.578900748392	-0.399832171289	-0.450376269691	-0.992642436946	-1.15762201574	2.59626353391	1.48026267691	-0.37660792572	1.20708271385	0.0	-1.61575183657	0.941429679216
0	1	0	1	1	1	1	1	1	1	1	1	1	0.0	1.26203467067	0.0	0.193603173852	-0.773059887269	-0.685890720591	-1.04813800453	-1.18953370484	2.24274125633	1.12531991724	-0.236140950995	0.994546753062	0.566333060976	-2.42687825557	0.955917960404
0	1	0	0	1	1	1	1	1	1	1	1	1	0.0	1.2924638837	0.0	0.0	-0.763484049022	-0.673117743198	-1.01032670927	-1.14556242772	2.27280843742	1.13786424552	-0.240503807034	0.990358575323	0.571505335516	-2.39808120559	0.956994097074
0	1	0	1	0	1	1	1	1	1	1	1	1	0.0	1.13677388071	0.0	0.150051480033	0.0	-0.285793913514	-1.00989110435	-1.15196509833	2.2736592221	1.115412592	-0.229336436639	0.995892143186	0.563803882707	-2.77046787853	0.961140388359
0	1	0	1	1	0	1	1	1	1	1	1	1	0.0	1.1424683795	0.0	0.0959862105285	-0.163957959276	0.0	-1.07821102208	-1.24572678646	2.19849698315	1.14667922243	-0.254208051944	0.996197434603	0.554826382283	-2.75052718406	0.95729478232
0	1	0	1	1	1	0	1	1	1	1	1	1	0.0	1.19711878113	0.0	-0.0571708636948	-0.718545967745	-0.717091111851	0.0	-1.83923396691	2.10100562145	1.09321577835	-0.205018835624	1.01455239033	0.583780489499	-2.3562766309	0.959098893795
0	1	0	1	1	1	1	0	1	1	1	1	1	0.0	1.19112103849	0.0	-0.131394744491	-0.714752634027	-0.747035444589	-1.7562597255	0.0	2.10716321087	1.10723543349	-0.185703654739	1.01738594143	0.59776593323	-2.38582693085	0.955284938834
0	1	0	1	1	1	1	1	0	1	1	1	1	0.0	1.52595426111	0.0	0.645580426161	-0.873308103517	-0.604095044882	-0.715279450651	-0.899448449234	0.0	1.87118999774	-0.356657498683	1.13811851352	0.769772846744	-2.67180798166	0.953235531501
